item,weight,year,month,value,date
Growth of  Natural Gas (%),NA,2015,3,-2.3,2015-03-01
Growth of  Natural Gas (%),NA,2015,4,-4.3,2015-04-01
Growth of  Natural Gas (%),NA,2015,5,-3.9,2015-05-01
Growth of  Natural Gas (%),NA,2015,6,-7.2,2015-06-01
Growth of  Natural Gas (%),NA,2015,7,-5.3,2015-07-01
Growth of  Natural Gas (%),NA,2015,8,3.0,2015-08-01
Growth of  Natural Gas (%),NA,2015,9,0.1,2015-09-01
Growth of  Natural Gas (%),NA,2015,10,-2.0,2015-10-01
Growth of  Natural Gas (%),NA,2015,11,-4.0,2015-11-01
Growth of  Natural Gas (%),NA,2015,12,-6.2,2015-12-01
Growth of  Natural Gas (%),NA,2016,1,-15.6,2016-01-01
Growth of  Natural Gas (%),NA,2016,2,1.4,2016-02-01
Growth of  Natural Gas (%),NA,2016,3,-11.2,2016-03-01
Growth of  Natural Gas (%),NA,2016,4,-6.9,2016-04-01
Growth of  Natural Gas (%),NA,2016,5,-6.5,2016-05-01
Growth of  Natural Gas (%),NA,2016,6,-4.0,2016-06-01
Growth of  Natural Gas (%),NA,2016,7,4.1,2016-07-01
Growth of  Natural Gas (%),NA,2016,8,-5.9,2016-08-01
Growth of  Natural Gas (%),NA,2016,9,-5.9,2016-09-01
Growth of  Natural Gas (%),NA,2016,10,-1.5,2016-10-01
Growth of  Natural Gas (%),NA,2016,11,-2.1,2016-11-01
Growth of  Natural Gas (%),NA,2016,12,-0.38,2016-12-01
Growth of  Natural Gas (%),NA,2017,1,11.6,2017-01-01
Growth of  Natural Gas (%),NA,2017,2,-2.1,2017-02-01
Growth of  Natural Gas (%),NA,2017,3,9.6,2017-03-01
Growth of  Natural Gas (%),NA,2017,4,2.0,2017-04-01
Growth of  Natural Gas (%),NA,2017,5,4.5,2017-05-01
Growth of  Natural Gas (%),NA,2017,6,6.4,2017-06-01
Growth of  Natural Gas (%),NA,2017,7,6.6,2017-07-01
Growth of  Natural Gas (%),NA,2017,8,4.2,2017-08-01
Growth of  Natural Gas (%),NA,2017,9,6.3,2017-09-01
Growth of  Natural Gas (%),NA,2017,10,2.8,2017-10-01
Growth of  Natural Gas (%),NA,2017,11,2.4,2017-11-01
Growth of  Natural Gas (%),NA,2017,12,1.1,2017-12-01
Growth of  Natural Gas (%),NA,2018,1,-1.2,2018-01-01
Growth of  Natural Gas (%),NA,2018,2,-1.8,2018-02-01
Growth of  Natural Gas (%),NA,2018,3,1.0,2018-03-01
Growth of  Natural Gas (%),NA,2018,4,5.7,2018-04-01
Growth of  Natural Gas (%),NA,2018,5,-1.4,2018-05-01
Growth of  Natural Gas (%),NA,2018,6,-2.7,2018-06-01
Growth of  Natural Gas (%),NA,2018,7,-5.2,2018-07-01
Growth of  Natural Gas (%),NA,2018,8,1.0,2018-08-01
Growth of  Natural Gas (%),NA,2018,9,-1.7,2018-09-01
Growth of  Natural Gas (%),NA,2018,10,-0.9,2018-10-01
Growth of  Natural Gas (%),NA,2018,11,0.5,2018-11-01
Growth of  Natural Gas (%),NA,2018,12,4.2,2018-12-01
Growth of  Natural Gas (%),NA,2019,1,6.2,2019-01-01
Growth of  Natural Gas (%),NA,2019,2,3.8,2019-02-01
Growth of  Natural Gas (%),NA,2019,3,1.4,2019-03-01
Growth of  Natural Gas (%),NA,2019,4,-0.8,2019-04-01
Growth of  Natural Gas (%),NA,2019,5,-0.1,2019-05-01
Growth of  Natural Gas (%),NA,2019,6,-2.1,2019-06-01
Growth of  Natural Gas (%),NA,2019,7,-0.5,2019-07-01
Growth of  Natural Gas (%),NA,2019,8,-3.9,2019-08-01
Growth of  Natural Gas (%),NA,2019,9,-4.9,2019-09-01
Growth of  Natural Gas (%),NA,2019,10,-5.6,2019-10-01
Growth of  Natural Gas (%),NA,2019,11,-6.4,2019-11-01
Growth of  Natural Gas (%),NA,2019,12,-9.2,2019-12-01
Growth of  Natural Gas (%),NA,2020,1,-9.0,2020-01-01
Growth of  Natural Gas (%),NA,2020,2,-9.6,2020-02-01
Growth of  Natural Gas (%),NA,2020,3,-15.1,2020-03-01
Growth of  Natural Gas (%),NA,2020,4,-19.9,2020-04-01
Growth of  Natural Gas (%),NA,2020,5,-16.8,2020-05-01
Growth of  Natural Gas (%),NA,2020,6,-12.0,2020-06-01
Growth of  Natural Gas (%),NA,2020,7,-10.2,2020-07-01
Growth of  Natural Gas (%),NA,2020,8,-9.5,2020-08-01
Growth of  Natural Gas (%),NA,2020,9,-10.6,2020-09-01
Growth of  Natural Gas (%),NA,2020,10,-8.6,2020-10-01
Growth of  Natural Gas (%),NA,2020,11,-9.3,2020-11-01
Growth of  Natural Gas (%),NA,2020,12,-7.2,2020-12-01
Growth of  Natural Gas (%),NA,2021,1,-2.1,2021-01-01
Growth of  Natural Gas (%),NA,2021,2,-1.0,2021-02-01
Growth of  Natural Gas (%),NA,2021,3,12.3,2021-03-01
Growth of  Natural Gas (%),NA,2021,4,25.0,2021-04-01
Growth of  Natural Gas (%),NA,2021,5,20.1,2021-05-01
Growth of  Natural Gas (%),NA,2021,6,20.6,2021-06-01
Growth of  Natural Gas (%),NA,2021,7,19.0,2021-07-01
Growth of  Natural Gas (%),NA,2021,8,20.7,2021-08-01
Growth of  Natural Gas (%),NA,2021,9,27.5,2021-09-01
Growth of  Natural Gas (%),NA,2021,10,25.8,2021-10-01
Growth of  Natural Gas (%),NA,2021,11,23.7,2021-11-01
Growth of  Natural Gas (%),NA,2021,12,19.5,2021-12-01
Growth of  Natural Gas (%),NA,2022,1,11.7,2022-01-01
Growth of  Natural Gas (%),NA,2022,2,12.5,2022-02-01
Growth of  Natural Gas (%),NA,2022,3,7.6,2022-03-01
Growth of  Natural Gas (%),NA,2022,5,7.0,2022-05-01
Growth of  Natural Gas (%),NA,2022,6,1.2,2022-06-01
Growth of  Natural Gas (%),NA,2022,7,-0.3,2022-07-01
Growth of  Natural Gas (%),NA,2022,8,-0.9,2022-08-01
Growth of  Natural Gas (%),NA,2022,9,-1.7,2022-09-01
Growth of  Natural Gas (%),NA,2022,10,-4.2,2022-10-01
Growth of  Natural Gas (%),NA,2022,11,-0.7,2022-11-01
Growth of  Natural Gas (%),NA,2022,12,2.6,2022-12-01
Growth of  Natural Gas (%),NA,2023,1,5.2,2023-01-01
Growth of  Natural Gas (%),NA,2023,2,3.1,2023-02-01
Growth of  Natural Gas (%),NA,2023,3,2.7,2023-03-01
Growth of  Natural Gas (%),NA,2023,4,-2.9,2023-04-01
Growth of  Natural Gas (%),NA,2023,5,-0.3,2023-05-01
Growth of  Natural Gas (%),NA,2023,6,3.5,2023-06-01
Growth of  Natural Gas (%),NA,2023,7,8.9,2023-07-01
Growth of  Natural Gas (%),NA,2023,8,9.9,2023-08-01
Growth of  Natural Gas (%),NA,2023,9,6.6,2023-09-01
Growth of  Natural Gas (%),NA,2023,10,9.9,2023-10-01
Growth of  Natural Gas (%),NA,2023,11,7.6,2023-11-01
Growth of  Natural Gas (%),NA,2023,12,6.6,2023-12-01
Growth of  Natural Gas (%),NA,2024,1,5.5,2024-01-01
Growth of  Natural Gas (%),NA,2024,2,11.3,2024-02-01
Growth of  Natural Gas (%),NA,2024,3,6.3,2024-03-01
Growth of  Natural Gas (%),NA,2024,4,8.6,2024-04-01
Growth of  Natural Gas (%),NA,2024,5,7.5,2024-05-01
Growth of  Natural Gas (%),NA,2024,6,3.3,2024-06-01
Growth of  Natural Gas (%),NA,2024,7,-1.3,2024-07-01
Growth of Coal (%),NA,2012,4,3.8,2012-04-01
Growth of Coal (%),NA,2012,5,8.5,2012-05-01
Growth of Coal (%),NA,2012,6,7.2,2012-06-01
Growth of Coal (%),NA,2012,7,1.1,2012-07-01
Growth of Coal (%),NA,2012,8,10.0,2012-08-01
Growth of Coal (%),NA,2012,9,20.5,2012-09-01
Growth of Coal (%),NA,2012,10,10.6,2012-10-01
Growth of Coal (%),NA,2012,11,-4.0,2012-11-01
Growth of Coal (%),NA,2012,12,0.0,2012-12-01
Growth of Coal (%),NA,2013,1,2.3,2013-01-01
Growth of Coal (%),NA,2013,2,-8.3,2013-02-01
Growth of Coal (%),NA,2013,3,0.8,2013-03-01
Growth of Coal (%),NA,2013,4,1.5,2013-04-01
Growth of Coal (%),NA,2013,5,-4.4,2013-05-01
Growth of Coal (%),NA,2013,6,-3.3,2013-06-01
Growth of Coal (%),NA,2013,7,0.9,2013-07-01
Growth of Coal (%),NA,2013,8,5.9,2013-08-01
Growth of Coal (%),NA,2013,9,12.4,2013-09-01
Growth of Coal (%),NA,2013,10,-4.1,2013-10-01
Growth of Coal (%),NA,2013,11,2.1,2013-11-01
Growth of Coal (%),NA,2013,12,0.9,2013-12-01
Growth of Coal (%),NA,2014,1,0.9,2014-01-01
Growth of Coal (%),NA,2014,2,1.5,2014-02-01
Growth of Coal (%),NA,2014,3,0.3,2014-03-01
Growth of Coal (%),NA,2014,4,5.6,2014-04-01
Growth of Coal (%),NA,2014,5,6.2,2014-05-01
Growth of Coal (%),NA,2014,6,12.3,2014-06-01
Growth of Coal (%),NA,2014,7,5.5,2014-07-01
Growth of Coal (%),NA,2014,8,13.3,2014-08-01
Growth of Coal (%),NA,2014,9,7.7,2014-09-01
Growth of Coal (%),NA,2014,10,16.4,2014-10-01
Growth of Coal (%),NA,2014,11,15.6,2014-11-01
Growth of Coal (%),NA,2014,12,2.7,2014-12-01
Growth of Coal (%),NA,2015,1,0.7,2015-01-01
Growth of Coal (%),NA,2015,2,10.6,2015-02-01
Growth of Coal (%),NA,2015,3,4.8,2015-03-01
Growth of Coal (%),NA,2015,4,8.0,2015-04-01
Growth of Coal (%),NA,2015,5,8.0,2015-05-01
Growth of Coal (%),NA,2015,6,2.3,2015-06-01
Growth of Coal (%),NA,2015,7,0.6,2015-07-01
Growth of Coal (%),NA,2015,8,0.8,2015-08-01
Growth of Coal (%),NA,2015,9,2.5,2015-09-01
Growth of Coal (%),NA,2015,10,6.5,2015-10-01
Growth of Coal (%),NA,2015,11,3.1,2015-11-01
Growth of Coal (%),NA,2015,12,11.0,2015-12-01
Growth of Coal (%),NA,2016,1,9.4,2016-01-01
Growth of Coal (%),NA,2016,2,3.6,2016-02-01
Growth of Coal (%),NA,2016,3,1.3,2016-03-01
Growth of Coal (%),NA,2016,4,-1.8,2016-04-01
Growth of Coal (%),NA,2016,5,6.0,2016-05-01
Growth of Coal (%),NA,2016,6,12.1,2016-06-01
Growth of Coal (%),NA,2016,7,4.1,2016-07-01
Growth of Coal (%),NA,2016,8,-9.7,2016-08-01
Growth of Coal (%),NA,2016,9,-6.7,2016-09-01
Growth of Coal (%),NA,2016,10,-1.9,2016-10-01
Growth of Coal (%),NA,2016,11,6.1,2016-11-01
Growth of Coal (%),NA,2016,12,3.6,2016-12-01
Growth of Coal (%),NA,2017,1,3.5,2017-01-01
Growth of Coal (%),NA,2017,2,6.6,2017-02-01
Growth of Coal (%),NA,2017,3,10.6,2017-03-01
Growth of Coal (%),NA,2017,4,-3.3,2017-04-01
Growth of Coal (%),NA,2017,5,-3.2,2017-05-01
Growth of Coal (%),NA,2017,6,-6.7,2017-06-01
Growth of Coal (%),NA,2017,7,0.6,2017-07-01
Growth of Coal (%),NA,2017,8,15.4,2017-08-01
Growth of Coal (%),NA,2017,9,10.4,2017-09-01
Growth of Coal (%),NA,2017,10,3.9,2017-10-01
Growth of Coal (%),NA,2017,11,0.7,2017-11-01
Growth of Coal (%),NA,2017,12,0.4,2017-12-01
Growth of Coal (%),NA,2018,1,3.8,2018-01-01
Growth of Coal (%),NA,2018,2,1.3,2018-02-01
Growth of Coal (%),NA,2018,3,9.1,2018-03-01
Growth of Coal (%),NA,2018,4,15.2,2018-04-01
Growth of Coal (%),NA,2018,5,12.0,2018-05-01
Growth of Coal (%),NA,2018,6,11.5,2018-06-01
Growth of Coal (%),NA,2018,7,9.8,2018-07-01
Growth of Coal (%),NA,2018,8,2.4,2018-08-01
Growth of Coal (%),NA,2018,9,6.4,2018-09-01
Growth of Coal (%),NA,2018,10,11.3,2018-10-01
Growth of Coal (%),NA,2018,11,3.7,2018-11-01
Growth of Coal (%),NA,2018,12,1.1,2018-12-01
Growth of Coal (%),NA,2019,1,2.0,2019-01-01
Growth of Coal (%),NA,2019,2,7.4,2019-02-01
Growth of Coal (%),NA,2019,3,9.1,2019-03-01
Growth of Coal (%),NA,2019,4,3.2,2019-04-01
Growth of Coal (%),NA,2019,5,1.7,2019-05-01
Growth of Coal (%),NA,2019,6,2.9,2019-06-01
Growth of Coal (%),NA,2019,7,-1.6,2019-07-01
Growth of Coal (%),NA,2019,8,-8.6,2019-08-01
Growth of Coal (%),NA,2019,9,-20.5,2019-09-01
Growth of Coal (%),NA,2019,10,-17.6,2019-10-01
Growth of Coal (%),NA,2019,11,-3.5,2019-11-01
Growth of Coal (%),NA,2019,12,6.1,2019-12-01
Growth of Coal (%),NA,2020,1,8.0,2020-01-01
Growth of Coal (%),NA,2020,2,11.3,2020-02-01
Growth of Coal (%),NA,2020,3,4.0,2020-03-01
Growth of Coal (%),NA,2020,4,-15.5,2020-04-01
Growth of Coal (%),NA,2020,5,-14.0,2020-05-01
Growth of Coal (%),NA,2020,6,-15.5,2020-06-01
Growth of Coal (%),NA,2020,7,-5.7,2020-07-01
Growth of Coal (%),NA,2020,8,3.6,2020-08-01
Growth of Coal (%),NA,2020,9,21.0,2020-09-01
Growth of Coal (%),NA,2020,10,11.7,2020-10-01
Growth of Coal (%),NA,2020,11,3.3,2020-11-01
Growth of Coal (%),NA,2020,12,2.2,2020-12-01
Growth of Coal (%),NA,2021,1,-1.9,2021-01-01
Growth of Coal (%),NA,2021,2,-4.4,2021-02-01
Growth of Coal (%),NA,2021,3,0.3,2021-03-01
Growth of Coal (%),NA,2021,4,9.5,2021-04-01
Growth of Coal (%),NA,2021,5,7.0,2021-05-01
Growth of Coal (%),NA,2021,6,7.4,2021-06-01
Growth of Coal (%),NA,2021,7,18.8,2021-07-01
Growth of Coal (%),NA,2021,8,20.6,2021-08-01
Growth of Coal (%),NA,2021,9,7.8,2021-09-01
Growth of Coal (%),NA,2021,10,14.7,2021-10-01
Growth of Coal (%),NA,2021,11,8.2,2021-11-01
Growth of Coal (%),NA,2021,12,5.2,2021-12-01
Growth of Coal (%),NA,2022,1,8.2,2022-01-01
Growth of Coal (%),NA,2022,2,6.6,2022-02-01
Growth of Coal (%),NA,2022,3,0.3,2022-03-01
Growth of Coal (%),NA,2022,5,33.5,2022-05-01
Growth of Coal (%),NA,2022,6,32.1,2022-06-01
Growth of Coal (%),NA,2022,7,11.4,2022-07-01
Growth of Coal (%),NA,2022,8,7.7,2022-08-01
Growth of Coal (%),NA,2022,9,12.1,2022-09-01
Growth of Coal (%),NA,2022,10,3.8,2022-10-01
Growth of Coal (%),NA,2022,11,12.3,2022-11-01
Growth of Coal (%),NA,2022,12,12.3,2022-12-01
Growth of Coal (%),NA,2023,1,13.6,2023-01-01
Growth of Coal (%),NA,2023,2,9.0,2023-02-01
Growth of Coal (%),NA,2023,3,11.7,2023-03-01
Growth of Coal (%),NA,2023,4,9.1,2023-04-01
Growth of Coal (%),NA,2023,5,7.2,2023-05-01
Growth of Coal (%),NA,2023,6,9.8,2023-06-01
Growth of Coal (%),NA,2023,7,14.9,2023-07-01
Growth of Coal (%),NA,2023,8,17.9,2023-08-01
Growth of Coal (%),NA,2023,9,16.0,2023-09-01
Growth of Coal (%),NA,2023,10,18.4,2023-10-01
Growth of Coal (%),NA,2023,11,10.9,2023-11-01
Growth of Coal (%),NA,2023,12,10.8,2023-12-01
Growth of Coal (%),NA,2024,1,10.6,2024-01-01
Growth of Coal (%),NA,2024,2,11.6,2024-02-01
Growth of Coal (%),NA,2024,3,8.7,2024-03-01
Growth of Coal (%),NA,2024,4,7.5,2024-04-01
Growth of Coal (%),NA,2024,5,10.2,2024-05-01
Growth of Coal (%),NA,2024,6,14.8,2024-06-01
Growth of Coal (%),NA,2024,7,6.8,2024-07-01
Index of Coal,NA,2011,4,90.4,2011-04-01
Index of Coal,NA,2011,5,91.7,2011-05-01
Index of Coal,NA,2011,6,86.5,2011-06-01
Index of Coal,NA,2011,7,86.8,2011-07-01
Index of Coal,NA,2011,8,73.1,2011-08-01
Index of Coal,NA,2011,9,67.0,2011-09-01
Index of Coal,NA,2011,10,89.1,2011-10-01
Index of Coal,NA,2011,11,107.0,2011-11-01
Index of Coal,NA,2011,12,119.0,2011-12-01
Index of Coal,NA,2012,1,122.4,2012-01-01
Index of Coal,NA,2012,2,124.4,2012-02-01
Index of Coal,NA,2012,3,142.7,2012-03-01
Index of Coal,NA,2012,4,93.8,2012-04-01
Index of Coal,NA,2012,5,99.4,2012-05-01
Index of Coal,NA,2012,6,92.7,2012-06-01
Index of Coal,NA,2012,7,87.8,2012-07-01
Index of Coal,NA,2012,8,80.4,2012-08-01
Index of Coal,NA,2012,9,80.7,2012-09-01
Index of Coal,NA,2012,10,98.5,2012-10-01
Index of Coal,NA,2012,11,102.7,2012-11-01
Index of Coal,NA,2012,12,119.1,2012-12-01
Index of Coal,NA,2013,1,125.2,2013-01-01
Index of Coal,NA,2013,2,114.1,2013-02-01
Index of Coal,NA,2013,3,143.9,2013-03-01
Index of Coal,NA,2013,4,95.2,2013-04-01
Index of Coal,NA,2013,5,95.0,2013-05-01
Index of Coal,NA,2013,6,89.7,2013-06-01
Index of Coal,NA,2013,7,88.6,2013-07-01
Index of Coal,NA,2013,8,85.1,2013-08-01
Index of Coal,NA,2013,9,90.7,2013-09-01
Index of Coal,NA,2013,10,94.4,2013-10-01
Index of Coal,NA,2013,11,104.8,2013-11-01
Index of Coal,NA,2013,12,120.2,2013-12-01
Index of Coal,NA,2014,1,126.3,2014-01-01
Index of Coal,NA,2014,2,115.8,2014-02-01
Index of Coal,NA,2014,3,144.3,2014-03-01
Index of Coal,NA,2014,4,100.5,2014-04-01
Index of Coal,NA,2014,5,100.9,2014-05-01
Index of Coal,NA,2014,6,100.7,2014-06-01
Index of Coal,NA,2014,7,93.4,2014-07-01
Index of Coal,NA,2014,8,96.4,2014-08-01
Index of Coal,NA,2014,9,97.7,2014-09-01
Index of Coal,NA,2014,10,109.9,2014-10-01
Index of Coal,NA,2014,11,121.1,2014-11-01
Index of Coal,NA,2014,12,123.5,2014-12-01
Index of Coal,NA,2015,1,127.2,2015-01-01
Index of Coal,NA,2015,2,128.1,2015-02-01
Index of Coal,NA,2015,3,151.3,2015-03-01
Index of Coal,NA,2015,4,108.5,2015-04-01
Index of Coal,NA,2015,5,108.9,2015-05-01
Index of Coal,NA,2015,6,102.9,2015-06-01
Index of Coal,NA,2015,7,94.0,2015-07-01
Index of Coal,NA,2015,8,97.2,2015-08-01
Index of Coal,NA,2015,9,100.1,2015-09-01
Index of Coal,NA,2015,10,117.0,2015-10-01
Index of Coal,NA,2015,11,124.9,2015-11-01
Index of Coal,NA,2015,12,137.1,2015-12-01
Index of Coal,NA,2016,1,139.2,2016-01-01
Index of Coal,NA,2016,2,132.7,2016-02-01
Index of Coal,NA,2016,3,153.3,2016-03-01
Index of Coal,NA,2016,4,106.6,2016-04-01
Index of Coal,NA,2016,5,115.4,2016-05-01
Index of Coal,NA,2016,6,115.4,2016-06-01
Index of Coal,NA,2016,7,97.9,2016-07-01
Index of Coal,NA,2016,8,87.8,2016-08-01
Index of Coal,NA,2016,9,93.4,2016-09-01
Index of Coal,NA,2016,10,114.9,2016-10-01
Index of Coal,NA,2016,11,132.5,2016-11-01
Index of Coal,NA,2016,12,142.0,2016-12-01
Index of Coal,NA,2017,1,144.1,2017-01-01
Index of Coal,NA,2017,2,141.4,2017-02-01
Index of Coal,NA,2017,3,169.5,2017-03-01
Index of Coal,NA,2017,4,103.1,2017-04-01
Index of Coal,NA,2017,5,111.8,2017-05-01
Index of Coal,NA,2017,6,107.6,2017-06-01
Index of Coal,NA,2017,7,98.5,2017-07-01
Index of Coal,NA,2017,8,101.3,2017-08-01
Index of Coal,NA,2017,9,103.1,2017-09-01
Index of Coal,NA,2017,10,119.4,2017-10-01
Index of Coal,NA,2017,11,133.5,2017-11-01
Index of Coal,NA,2017,12,142.6,2017-12-01
Index of Coal,NA,2018,1,149.5,2018-01-01
Index of Coal,NA,2018,2,143.2,2018-02-01
Index of Coal,NA,2018,3,184.9,2018-03-01
Index of Coal,NA,2018,4,118.8,2018-04-01
Index of Coal,NA,2018,5,125.2,2018-05-01
Index of Coal,NA,2018,6,120.0,2018-06-01
Index of Coal,NA,2018,7,108.1,2018-07-01
Index of Coal,NA,2018,8,103.8,2018-08-01
Index of Coal,NA,2018,9,109.8,2018-09-01
Index of Coal,NA,2018,10,132.9,2018-10-01
Index of Coal,NA,2018,11,138.4,2018-11-01
Index of Coal,NA,2018,12,144.1,2018-12-01
Index of Coal,NA,2019,1,152.5,2019-01-01
Index of Coal,NA,2019,2,153.8,2019-02-01
Index of Coal,NA,2019,3,201.7,2019-03-01
Index of Coal,NA,2019,4,122.6,2019-04-01
Index of Coal,NA,2019,5,127.3,2019-05-01
Index of Coal,NA,2019,6,123.5,2019-06-01
Index of Coal,NA,2019,7,106.4,2019-07-01
Index of Coal,NA,2019,8,94.8,2019-08-01
Index of Coal,NA,2019,9,87.3,2019-09-01
Index of Coal,NA,2019,10,109.6,2019-10-01
Index of Coal,NA,2019,11,133.6,2019-11-01
Index of Coal,NA,2019,12,152.9,2019-12-01
Index of Coal,NA,2020,1,164.7,2020-01-01
Index of Coal,NA,2020,2,171.1,2020-02-01
Index of Coal,NA,2020,3,209.7,2020-03-01
Index of Coal,NA,2020,4,103.7,2020-04-01
Index of Coal,NA,2020,5,109.4,2020-05-01
Index of Coal,NA,2020,6,104.3,2020-06-01
Index of Coal,NA,2020,7,100.3,2020-07-01
Index of Coal,NA,2020,8,98.2,2020-08-01
Index of Coal,NA,2020,9,105.6,2020-09-01
Index of Coal,NA,2020,10,122.4,2020-10-01
Index of Coal,NA,2020,11,137.9,2020-11-01
Index of Coal,NA,2020,12,156.2,2020-12-01
Index of Coal,NA,2021,1,161.6,2021-01-01
Index of Coal,NA,2021,2,163.6,2021-02-01
Index of Coal,NA,2021,3,210.3,2021-03-01
Index of Coal,NA,2021,4,113.5,2021-04-01
Index of Coal,NA,2021,5,117.1,2021-05-01
Index of Coal,NA,2021,6,112.1,2021-06-01
Index of Coal,NA,2021,7,119.2,2021-07-01
Index of Coal,NA,2021,8,118.4,2021-08-01
Index of Coal,NA,2021,9,113.8,2021-09-01
Index of Coal,NA,2021,10,140.4,2021-10-01
Index of Coal,NA,2021,11,149.2,2021-11-01
Index of Coal,NA,2021,12,164.3,2021-12-01
Index of Coal,NA,2022,1,174.8,2022-01-01
Index of Coal,NA,2022,2,174.4,2022-02-01
Index of Coal,NA,2022,3,210.8,2022-03-01
Index of Coal,NA,2022,5,156.3,2022-05-01
Index of Coal,NA,2022,6,148.0,2022-06-01
Index of Coal,NA,2022,7,132.7,2022-07-01
Index of Coal,NA,2022,8,127.5,2022-08-01
Index of Coal,NA,2022,9,127.5,2022-09-01
Index of Coal,NA,2022,10,145.8,2022-10-01
Index of Coal,NA,2022,11,167.5,2022-11-01
Index of Coal,NA,2022,12,184.4,2022-12-01
Index of Coal,NA,2023,1,198.6,2023-01-01
Index of Coal,NA,2023,2,190.1,2023-02-01
Index of Coal,NA,2023,3,235.5,2023-03-01
Index of Coal,NA,2023,4,161.2,2023-04-01
Index of Coal,NA,2023,5,167.6,2023-05-01
Index of Coal,NA,2023,6,162.4,2023-06-01
Index of Coal,NA,2023,7,152.6,2023-07-01
Index of Coal,NA,2023,8,150.3,2023-08-01
Index of Coal,NA,2023,9,147.9,2023-09-01
Index of Coal,NA,2023,10,172.6,2023-10-01
Index of Coal,NA,2023,11,185.7,2023-11-01
Index of Coal,NA,2023,12,204.3,2023-12-01
Index of Coal,NA,2024,1,219.6,2024-01-01
Index of Coal,NA,2024,2,212.1,2024-02-01
Index of Coal,NA,2024,3,256.0,2024-03-01
Index of Coal,NA,2024,4,173.3,2024-04-01
Index of Coal,NA,2024,5,184.7,2024-05-01
Index of Coal,NA,2024,6,186.4,2024-06-01
Index of Coal,NA,2024,7,163.0,2024-07-01
Index of Fertilizers,NA,2011,4,83.4,2011-04-01
Index of Fertilizers,NA,2011,5,97.9,2011-05-01
Index of Fertilizers,NA,2011,6,99.8,2011-06-01
Index of Fertilizers,NA,2011,7,105.1,2011-07-01
Index of Fertilizers,NA,2011,8,104.8,2011-08-01
Index of Fertilizers,NA,2011,9,99.8,2011-09-01
Index of Fertilizers,NA,2011,10,107.2,2011-10-01
Index of Fertilizers,NA,2011,11,103.8,2011-11-01
Index of Fertilizers,NA,2011,12,105.6,2011-12-01
Index of Fertilizers,NA,2012,1,105.7,2012-01-01
Index of Fertilizers,NA,2012,2,95.2,2012-02-01
Index of Fertilizers,NA,2012,3,91.7,2012-03-01
Index of Fertilizers,NA,2012,4,71.4,2012-04-01
Index of Fertilizers,NA,2012,5,84.1,2012-05-01
Index of Fertilizers,NA,2012,6,93.4,2012-06-01
Index of Fertilizers,NA,2012,7,104.1,2012-07-01
Index of Fertilizers,NA,2012,8,104.9,2012-08-01
Index of Fertilizers,NA,2012,9,106.1,2012-09-01
Index of Fertilizers,NA,2012,10,109.5,2012-10-01
Index of Fertilizers,NA,2012,11,104.4,2012-11-01
Index of Fertilizers,NA,2012,12,101.4,2012-12-01
