,usd_inr
2011-02-28,54.333333333333485
2011-03-31,54.5
2011-04-30,54.666666666666515
2011-05-31,54.833333333333485
2011-06-30,55.0
2011-07-31,55.166666666666515
2011-08-31,55.333333333333485
2011-09-30,55.5
2011-10-31,55.666666666666515
2011-11-30,55.833333333333485
2011-12-31,56.0
2012-01-31,56.166666666666515
2012-02-29,56.333333333333485
2012-03-31,56.5
2012-04-30,56.666666666666515
2012-05-31,56.833333333333485
2012-06-30,57.0
2012-07-31,57.166666666666515
2012-08-31,57.333333333333485
2012-09-30,57.5
2012-10-31,57.666666666666515
2012-11-30,57.833333333333485
2012-12-31,65.0
2013-01-31,65.20833333333314
2013-02-28,65.41666666666686
2013-03-31,65.625
2013-04-30,65.83333333333314
2013-05-31,66.04166666666686
2013-06-30,66.25
2013-07-31,66.45833333333314
2013-08-31,66.66666666666686
2013-09-30,66.875
2013-10-31,67.08333333333314
2013-11-30,67.29166666666686
2013-12-31,67.5
2014-01-31,67.70833333333314
2014-02-28,67.91666666666686
2014-03-31,68.125
2014-04-30,68.33333333333314
2014-05-31,68.54166666666686
2014-06-30,68.75
2014-07-31,68.95833333333314
2014-08-31,69.16666666666686
2014-09-30,69.375
2014-10-31,69.58333333333314
2014-11-30,69.79166666666686
2014-12-31,70.0
2015-01-31,70.20833333333314
2015-02-28,70.41666666666686
2015-03-31,70.625
2015-04-30,70.83333333333314
2015-05-31,71.04166666666686
2015-06-30,71.25
2015-07-31,71.45833333333314
2015-08-31,71.66666666666686
2015-09-30,71.875
2015-10-31,72.08333333333314
2015-11-30,72.29166666666686
2015-12-31,72.5
2016-01-31,72.70833333333314
2016-02-29,72.91666666666686
2016-03-31,73.125
2016-04-30,73.33333333333314
2016-05-31,73.54166666666686
2016-06-30,73.75
2016-07-31,73.95833333333314
2016-08-31,74.16666666666686
2016-09-30,74.375
2016-10-31,74.58333333333314
2016-11-30,74.79166666666686
2016-12-31,75.0
2017-01-31,75.20833333333314
2017-02-28,75.41666666666686
2017-03-31,75.625
2017-04-30,75.83333333333314
2017-05-31,76.04166666666686
2017-06-30,76.25
2017-07-31,76.45833333333314
2017-08-31,76.66666666666686
2017-09-30,76.875
2017-10-31,77.08333333333314
2017-11-30,77.29166666666686
2017-12-31,77.5
2018-01-31,77.70833333333314
2018-02-28,77.91666666666686
2018-03-31,78.125
2018-04-30,78.33333333333314
2018-05-31,78.54166666666686
2018-06-30,78.75
2018-07-31,78.95833333333314
2018-08-31,79.16666666666686
2018-09-30,79.375
2018-10-31,79.58333333333314
2018-11-30,79.79166666666686
2018-12-31,80.0
2019-01-31,80.20833333333314
2019-02-28,80.41666666666686
2019-03-31,80.625
2019-04-30,80.83333333333314
2019-05-31,81.04166666666686
2019-06-30,81.25
2019-07-31,81.45833333333314
2019-08-31,81.66666666666686
2019-09-30,81.875
2019-10-31,82.08333333333314
2019-11-30,82.29166666666686
2019-12-31,75.0
2020-01-31,75.24999999999977
2020-02-29,75.50000000000023
2020-03-31,75.75
2020-04-30,75.99999999999977
2020-05-31,76.25000000000023
2020-06-30,76.5
2020-07-31,76.74999999999977
2020-08-31,77.00000000000023
2020-09-30,77.25
2020-10-31,77.49999999999977
2020-11-30,77.75000000000023
2020-12-31,78.0
2021-01-31,78.24999999999977
2021-02-28,78.50000000000023
2021-03-31,78.75
2021-04-30,78.99999999999977
2021-05-31,79.25000000000023
2021-06-30,79.5
2021-07-31,79.74999999999977
2021-08-31,80.00000000000023
2021-09-30,80.25
2021-10-31,80.49999999999977
2021-11-30,80.75000000000023
2021-12-31,81.0
2022-01-31,81.24999999999977
2022-02-28,81.50000000000023
2022-03-31,81.75
2022-04-30,81.99999999999977
2022-05-31,82.25000000000023
2022-06-30,82.5
2022-07-31,82.74999999999977
2022-08-31,83.00000000000023
2022-09-30,83.25
2022-10-31,83.49999999999977
2022-11-30,83.75000000000023
2022-12-31,84.0
2023-01-31,84.24999999999977
2023-02-28,84.50000000000023
2023-03-31,84.75
2023-04-30,84.99999999999977
2023-05-31,85.25000000000023
2023-06-30,85.5
2023-07-31,85.74999999999977
2023-08-31,86.00000000000023
2023-09-30,86.25
2023-10-31,86.49999999999977
2023-11-30,86.75000000000023
2023-12-31,83.0
2024-01-31,83.41666666666629
2024-02-29,83.83333333333371
2024-03-31,84.25
2024-04-30,84.66666666666629
2024-05-31,85.08333333333371
2024-06-30,85.5
2024-07-31,85.91666666666629
2024-08-31,86.33333333333371
2024-09-30,86.75
2024-10-31,87.16666666666629
2024-11-30,87.58333333333371
2024-12-31,88.0
2025-01-31,88.41666666666629
2025-02-28,88.83333333333371
2025-03-31,89.25
2025-04-30,89.66666666666629
2025-05-31,90.08333333333371
2025-06-30,90.5
2025-07-31,90.91666666666629
2025-08-31,91.33333333333371
2025-09-30,91.75
2025-10-31,92.16666666666629
2025-11-30,92.58333333333371
2025-12-31,93.0
2026-01-31,93.41666666666629
2026-02-28,93.83333333333371
2026-03-31,94.25
2026-04-30,94.66666666666629
2026-05-31,95.08333333333371
