category,product,fiscal_year,quantity,value,metric_type
Dyes and Pigments,Solubilised Vat Dyes,201819,358,1289,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,201920,170,810,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,202021,108,463,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,202122,22,261,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,202223,19,444,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,202324,23,363,chemical_import
Dyes and Pigments,Solubilised Vat Dyes,202425,34,412,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),201516,1332,2636,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),201617,1283,2638,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),201718,1252,2916,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),201819,1116,3286,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),201920,1041,3128,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),202021,1337,3294,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),202122,1810,5523,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),202223,3363,9298,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),202324,4111,9424,chemical_import
Dyes and Pigments,Sulphur Dyes (Sulphur Black),202425,4724,10862,chemical_import
Dyes and Pigments,Vat Dyes,201516,20580,48846,chemical_import
Dyes and Pigments,Vat Dyes,201617,23527,53539,chemical_import
Dyes and Pigments,Vat Dyes,201718,26368,59134,chemical_import
Dyes and Pigments,Vat Dyes,201819,21571,77638,chemical_import
Dyes and Pigments,Vat Dyes,201920,16400,63470,chemical_import
Dyes and Pigments,Vat Dyes,202021,13310,40263,chemical_import
Dyes and Pigments,Vat Dyes,202122,20402,89474,chemical_import
Dyes and Pigments,Vat Dyes,202223,11536,57921,chemical_import
Dyes and Pigments,Vat Dyes,202324,12660,51920,chemical_import
Dyes and Pigments,Vat Dyes,202425,13603,54443,chemical_import
Inorganic Chemicals,Aluminium Fluoride,201516,27258,18102,chemical_import
Inorganic Chemicals,Aluminium Fluoride,201617,46564,26437,chemical_import
Inorganic Chemicals,Aluminium Fluoride,201718,49758,29075,chemical_import
Inorganic Chemicals,Aluminium Fluoride,201819,62374,56075,chemical_import
Inorganic Chemicals,Aluminium Fluoride,201920,40362,37910,chemical_import
Inorganic Chemicals,Aluminium Fluoride,202021,61224,48059,chemical_import
Inorganic Chemicals,Aluminium Fluoride,202122,74347,52878,chemical_import
Inorganic Chemicals,Aluminium Fluoride,202223,54655,56217,chemical_import
Inorganic Chemicals,Aluminium Fluoride,202324,54863,51207,chemical_import
Inorganic Chemicals,Aluminium Fluoride,202425,72955,70501,chemical_import
Inorganic Chemicals,Calcium Carbide,201516,61935,25429,chemical_import
Inorganic Chemicals,Calcium Carbide,201617,55692,23652,chemical_import
Inorganic Chemicals,Calcium Carbide,201718,55651,23941,chemical_import
Inorganic Chemicals,Calcium Carbide,201819,45321,21554,chemical_import
Inorganic Chemicals,Calcium Carbide,201920,31218,14507,chemical_import
Inorganic Chemicals,Calcium Carbide,202021,32666,17749,chemical_import
Inorganic Chemicals,Calcium Carbide,202122,22008,15761,chemical_import
Inorganic Chemicals,Calcium Carbide,202223,22133,17150,chemical_import
Inorganic Chemicals,Calcium Carbide,202324,25223,13347,chemical_import
Inorganic Chemicals,Calcium Carbide,202425,21869,12003,chemical_import
Inorganic Chemicals,Calcium Carbonate,201516,715606,65090,chemical_import
Inorganic Chemicals,Calcium Carbonate,201617,700559,60902,chemical_import
Inorganic Chemicals,Calcium Carbonate,201718,846195,64587,chemical_import
Inorganic Chemicals,Calcium Carbonate,201819,1080252,86942,chemical_import
Inorganic Chemicals,Calcium Carbonate,201920,1169457,90705,chemical_import
Inorganic Chemicals,Calcium Carbonate,202021,855385,69433,chemical_import
Inorganic Chemicals,Calcium Carbonate,202122,1027322,103502,chemical_import
Inorganic Chemicals,Calcium Carbonate,202223,1063109,111870,chemical_import
Inorganic Chemicals,Calcium Carbonate,202324,620224,52667,chemical_import
Inorganic Chemicals,Calcium Carbonate,202425,602650,56670,chemical_import
Inorganic Chemicals,Carbon Black,201516,124059,83401,chemical_import
Inorganic Chemicals,Carbon Black,201617,128740,82424,chemical_import
Inorganic Chemicals,Carbon Black,201718,186224,143618,chemical_import
Inorganic Chemicals,Carbon Black,201819,278531,249368,chemical_import
Inorganic Chemicals,Carbon Black,201920,197491,153367,chemical_import
Inorganic Chemicals,Carbon Black,202021,190469,127583,chemical_import
Inorganic Chemicals,Carbon Black,202122,156331,155878,chemical_import
Inorganic Chemicals,Carbon Black,202223,126675,165212,chemical_import
Inorganic Chemicals,Carbon Black,202324,156731,170990,chemical_import
Inorganic Chemicals,Carbon Black,202425,152897,171754,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,201516,44084,11211,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,201617,57068,15910,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,201718,68474,19305,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,201819,84261,36931,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,201920,52727,15858,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,202021,22355,8150,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,202122,33475,11293,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,202223,44550,14499,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,202324,46641,13624,chemical_import
Inorganic Chemicals,Hydrogen Peroxide,202425,38594,12000,chemical_import
Inorganic Chemicals,Potassium Chlorate,201516,3160,2026,chemical_import
Inorganic Chemicals,Potassium Chlorate,201617,100,61,chemical_import
Inorganic Chemicals,Potassium Chlorate,201718,29,22,chemical_import
Inorganic Chemicals,Potassium Chlorate,201819,128,272,chemical_import
Inorganic Chemicals,Potassium Chlorate,201920,55,119,chemical_import
Inorganic Chemicals,Potassium Chlorate,202021,909,884,chemical_import
Inorganic Chemicals,Potassium Chlorate,202122,0,9,chemical_import
Inorganic Chemicals,Potassium Chlorate,202223,0,2,chemical_import
Inorganic Chemicals,Potassium Chlorate,202324,173,10,chemical_import
Inorganic Chemicals,Potassium Chlorate,202425,67,93,chemical_import
Inorganic Chemicals,Red Phosphorus,201516,0,0,chemical_import
Inorganic Chemicals,Red Phosphorus,201617,0,1,chemical_import
Inorganic Chemicals,Red Phosphorus,201718,0,3,chemical_import
Inorganic Chemicals,Red Phosphorus,201819,14,51,chemical_import
Inorganic Chemicals,Red Phosphorus,201920,18,57,chemical_import
Inorganic Chemicals,Red Phosphorus,202021,4,18,chemical_import
Inorganic Chemicals,Red Phosphorus,202122,0,1,chemical_import
Inorganic Chemicals,Red Phosphorus,202223,0,0,chemical_import
Inorganic Chemicals,Red Phosphorus,202324,7,55,chemical_import
Inorganic Chemicals,Red Phosphorus,202425,0,0,chemical_import
Inorganic Chemicals,Sodium Chlorate,201516,17298,6400,chemical_import
Inorganic Chemicals,Sodium Chlorate,201617,7447,2907,chemical_import
Inorganic Chemicals,Sodium Chlorate,201718,8822,3041,chemical_import
Inorganic Chemicals,Sodium Chlorate,201819,14240,5884,chemical_import
Inorganic Chemicals,Sodium Chlorate,201920,24082,11254,chemical_import
Inorganic Chemicals,Sodium Chlorate,202021,11589,5118,chemical_import
Inorganic Chemicals,Sodium Chlorate,202122,16655,6822,chemical_import
Inorganic Chemicals,Sodium Chlorate,202223,21823,14720,chemical_import
Inorganic Chemicals,Sodium Chlorate,202324,20338,16634,chemical_import
Inorganic Chemicals,Sodium Chlorate,202425,20160,15361,chemical_import
Inorganic Chemicals,Titanium Dioxide,201516,16421,25709,chemical_import
Inorganic Chemicals,Titanium Dioxide,201617,13901,22943,chemical_import
Inorganic Chemicals,Titanium Dioxide,201718,13701,24771,chemical_import
Inorganic Chemicals,Titanium Dioxide,201819,14546,28686,chemical_import
Inorganic Chemicals,Titanium Dioxide,201920,16416,30825,chemical_import
Inorganic Chemicals,Titanium Dioxide,202021,13389,25107,chemical_import
Inorganic Chemicals,Titanium Dioxide,202122,15134,36230,chemical_import
Inorganic Chemicals,Titanium Dioxide,202223,18505,53925,chemical_import
Inorganic Chemicals,Titanium Dioxide,202324,17584,47209,chemical_import
Inorganic Chemicals,Titanium Dioxide,202425,18882,49258,chemical_import
Organic Chemicals,Acetaldehyde,201516,74,299,chemical_import
Organic Chemicals,Acetaldehyde,201617,130,357,chemical_import
Organic Chemicals,Acetaldehyde,201718,81,243,chemical_import
Organic Chemicals,Acetaldehyde,201819,94,275,chemical_import
Organic Chemicals,Acetaldehyde,201920,113,375,chemical_import
Organic Chemicals,Acetaldehyde,202021,82,568,chemical_import
Organic Chemicals,Acetaldehyde,202122,150,497,chemical_import
Organic Chemicals,Acetaldehyde,202223,141,454,chemical_import
Organic Chemicals,Acetaldehyde,202324,187,463,chemical_import
Organic Chemicals,Acetaldehyde,202425,88,334,chemical_import
Organic Chemicals,Acetic Acid,201516,792775,206305,chemical_import
Organic Chemicals,Acetic Acid,201617,847808,193958,chemical_import
Organic Chemicals,Acetic Acid,201718,884515,290624,chemical_import
Organic Chemicals,Acetic Acid,201819,937298,422360,chemical_import
Organic Chemicals,Acetic Acid,201920,926492,273709,chemical_import
Organic Chemicals,Acetic Acid,202021,904345,275694,chemical_import
Organic Chemicals,Acetic Acid,202122,1054823,778838,chemical_import
Organic Chemicals,Acetic Acid,202223,1134506,512714,chemical_import
Organic Chemicals,Acetic Acid,202324,1112214,417696,chemical_import
Organic Chemicals,Acetic Acid,202425,1161521,403433,chemical_import
Organic Chemicals,Acetic Anhydride,201516,2918,1780,chemical_import
Organic Chemicals,Acetic Anhydride,201617,2272,1118,chemical_import
Organic Chemicals,Acetic Anhydride,201718,4381,2346,chemical_import
Organic Chemicals,Acetic Anhydride,201819,12275,9700,chemical_import
Organic Chemicals,Acetic Anhydride,201920,20529,11716,chemical_import
Organic Chemicals,Acetic Anhydride,202021,18807,10479,chemical_import
Organic Chemicals,Acetic Anhydride,202122,20896,22339,chemical_import
Organic Chemicals,Acetic Anhydride,202223,13400,10112,chemical_import
Organic Chemicals,Acetic Anhydride,202324,17689,12671,chemical_import
Organic Chemicals,Acetic Anhydride,202425,11647,7624,chemical_import
Organic Chemicals,Acetone,201516,138402,55796,chemical_import
Organic Chemicals,Acetone,201617,135887,63055,chemical_import
Organic Chemicals,Acetone,201718,146878,74975,chemical_import
Organic Chemicals,Acetone,201819,116760,52108,chemical_import
Organic Chemicals,Acetone,201920,72402,28094,chemical_import
Organic Chemicals,Acetone,202021,82056,53673,chemical_import
Organic Chemicals,Acetone,202122,118656,82777,chemical_import
Organic Chemicals,Acetone,202223,110027,65925,chemical_import
Organic Chemicals,Acetone,202324,125368,91229,chemical_import
Organic Chemicals,Acetone,202425,136271,112610,chemical_import
Organic Chemicals,Aniline,201516,38341,26965,chemical_import
Organic Chemicals,Aniline,201617,44650,29368,chemical_import
Organic Chemicals,Aniline,201718,65416,58924,chemical_import
Organic Chemicals,Aniline,201819,88454,81524,chemical_import
Organic Chemicals,Aniline,201920,80946,53293,chemical_import
Organic Chemicals,Aniline,202021,72770,47402,chemical_import
Organic Chemicals,Aniline,202122,92072,113186,chemical_import
Organic Chemicals,Aniline,202223,101437,137516,chemical_import
Organic Chemicals,Aniline,202324,148740,182205,chemical_import
Organic Chemicals,Aniline,202425,202003,259141,chemical_import
Organic Chemicals,Chloro Methanes,201516,608,364,chemical_import
Organic Chemicals,Chloro Methanes,201617,258,223,chemical_import
Organic Chemicals,Chloro Methanes,201718,519,429,chemical_import
Organic Chemicals,Chloro Methanes,201819,1413,1089,chemical_import
Organic Chemicals,Chloro Methanes,201920,2404,2122,chemical_import
Organic Chemicals,Chloro Methanes,202021,2469,2111,chemical_import
Organic Chemicals,Chloro Methanes,202122,1905,2163,chemical_import
Organic Chemicals,Chloro Methanes,202223,1406,1720,chemical_import
Organic Chemicals,Chloro Methanes,202324,0,3,chemical_import
Organic Chemicals,Chloro Methanes,202425,433,1382,chemical_import
Organic Chemicals,Citric Acid,201516,75978,36119,chemical_import
Organic Chemicals,Citric Acid,201617,81681,39558,chemical_import
Organic Chemicals,Citric Acid,201718,84262,45489,chemical_import
Organic Chemicals,Citric Acid,201819,95283,45136,chemical_import
Organic Chemicals,Citric Acid,201920,90958,38453,chemical_import
Organic Chemicals,Citric Acid,202021,94966,47550,chemical_import
Organic Chemicals,Citric Acid,202122,99929,100565,chemical_import
Organic Chemicals,Citric Acid,202223,131440,140713,chemical_import
Organic Chemicals,Citric Acid,202324,117653,79801,chemical_import
Organic Chemicals,Citric Acid,202425,140955,90071,chemical_import
Organic Chemicals,Ethanolamines,201516,10072,10321,chemical_import
Organic Chemicals,Ethanolamines,201617,11662,10202,chemical_import
Organic Chemicals,Ethanolamines,201718,16101,16140,chemical_import
Organic Chemicals,Ethanolamines,201819,16648,19347,chemical_import
Organic Chemicals,Ethanolamines,201920,16694,16398,chemical_import
Organic Chemicals,Ethanolamines,202021,19070,17807,chemical_import
Organic Chemicals,Ethanolamines,202122,18605,24326,chemical_import
Organic Chemicals,Ethanolamines,202223,16431,23742,chemical_import
Organic Chemicals,Ethanolamines,202324,22672,26567,chemical_import
Organic Chemicals,Ethanolamines,202425,22079,23546,chemical_import
Organic Chemicals,Ethyl Acetate,201516,290,909,chemical_import
Organic Chemicals,Ethyl Acetate,201617,1664,861,chemical_import
Organic Chemicals,Ethyl Acetate,201718,43,127,chemical_import
Organic Chemicals,Ethyl Acetate,201819,2917,2358,chemical_import
Organic Chemicals,Ethyl Acetate,201920,2157,1768,chemical_import
Organic Chemicals,Ethyl Acetate,202021,141,1697,chemical_import
Organic Chemicals,Ethyl Acetate,202122,3778,5336,chemical_import
Organic Chemicals,Ethyl Acetate,202223,262,1630,chemical_import
Organic Chemicals,Ethyl Acetate,202324,2266,2728,chemical_import
Organic Chemicals,Ethyl Acetate,202425,362,1087,chemical_import
Organic Chemicals,Formaldehyde,201516,66,42,chemical_import
Organic Chemicals,Formaldehyde,201617,84,248,chemical_import
Organic Chemicals,Formaldehyde,201718,46,44,chemical_import
Organic Chemicals,Formaldehyde,201819,22,13,chemical_import
Organic Chemicals,Formaldehyde,201920,5,111,chemical_import
Organic Chemicals,Formaldehyde,202021,6,148,chemical_import
Organic Chemicals,Formaldehyde,202122,8,194,chemical_import
Organic Chemicals,Formaldehyde,202223,6,108,chemical_import
Organic Chemicals,Formaldehyde,202324,4,59,chemical_import
Organic Chemicals,Formaldehyde,202425,5,60,chemical_import
Organic Chemicals,Isobutylbenzene,201516,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,201617,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,201718,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,201819,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,201920,2,4,chemical_import
Organic Chemicals,Isobutylbenzene,202021,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,202122,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,202223,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,202324,0,0,chemical_import
Organic Chemicals,Isobutylbenzene,202425,0,0,chemical_import
Organic Chemicals,Maleic Anhydride,201516,47399,31392,chemical_import
Organic Chemicals,Maleic Anhydride,201617,50813,34618,chemical_import
Organic Chemicals,Maleic Anhydride,201718,52627,42928,chemical_import
Organic Chemicals,Maleic Anhydride,201819,69920,61694,chemical_import
Organic Chemicals,Maleic Anhydride,201920,66942,46858,chemical_import
Organic Chemicals,Maleic Anhydride,202021,59533,46705,chemical_import
Organic Chemicals,Maleic Anhydride,202122,74467,107691,chemical_import
Organic Chemicals,Maleic Anhydride,202223,82414,94533,chemical_import
Organic Chemicals,Maleic Anhydride,202324,87083,69005,chemical_import
Organic Chemicals,Maleic Anhydride,202425,100397,85152,chemical_import
Organic Chemicals,Mek,201516,40883,26950,chemical_import
Organic Chemicals,Mek,201617,30901,16629,chemical_import
Organic Chemicals,Mek,201718,45331,36027,chemical_import
